"Date","Price","Open","High","Low","Change %"
"09/15/1999","4.732","4.732","4.732","4.732","-1.74%"
"09/14/1999","4.816","4.816","4.816","4.816","1.62%"
"09/13/1999","4.739","4.739","4.739","4.739","-0.02%"
"09/10/1999","4.740","4.740","4.740","4.740","-1.33%"
"09/09/1999","4.804","4.804","4.804","4.804","-0.23%"
"09/08/1999","4.815","4.815","4.815","4.815","-0.02%"
"09/07/1999","4.816","4.816","4.816","4.816","-1.61%"
"09/03/1999","4.895","4.895","4.895","4.895","-0.26%"
"09/02/1999","4.908","4.908","4.908","4.908","-0.65%"
"09/01/1999","4.940","4.940","4.940","4.940","-0.64%"
"08/31/1999","4.972","4.972","4.972","4.972","0.06%"
"08/30/1999","4.969","4.969","4.969","4.969","0.00%"
"08/27/1999","4.969","4.969","4.969","4.969","1.02%"
"08/26/1999","4.919","4.919","4.919","4.919","0.20%"
"08/25/1999","4.909","4.909","4.909","4.909","-0.45%"
"08/24/1999","4.931","4.931","4.931","4.931","1.82%"
"08/23/1999","4.843","4.843","4.843","4.843","1.06%"
"08/20/1999","4.792","4.792","4.792","4.792","1.05%"
"08/19/1999","4.742","4.742","4.742","4.742","-0.23%"
"08/18/1999","4.753","4.753","4.753","4.753","-0.98%"
"08/17/1999","4.800","4.800","4.800","4.800","2.39%"
"08/16/1999","4.688","4.688","4.688","4.688","-0.89%"
"08/13/1999","4.730","4.730","4.730","4.730","-1.03%"
"08/12/1999","4.779","4.779","4.779","4.779","-2.35%"
"08/11/1999","4.894","4.894","4.894","4.894","-0.65%"
"08/10/1999","4.926","4.926","4.926","4.926","1.71%"
"08/09/1999","4.843","4.843","4.843","4.843","1.51%"
"08/06/1999","4.771","4.771","4.771","4.771","1.51%"
"08/05/1999","4.700","4.700","4.700","4.700","-1.32%"
"08/04/1999","4.763","4.763","4.763","4.763","-1.10%"
"08/03/1999","4.816","4.816","4.816","4.816","0.86%"
"08/02/1999","4.775","4.775","4.775","4.775","0.63%"
"07/30/1999","4.745","4.745","4.745","4.745","0.74%"
"07/29/1999","4.710","4.710","4.710","4.710","0.19%"
"07/28/1999","4.701","4.701","4.701","4.701","0.21%"
"07/27/1999","4.691","4.691","4.691","4.691","0.30%"
"07/26/1999","4.677","4.677","4.677","4.677","1.34%"
"07/23/1999","4.615","4.615","4.615","4.615","0.41%"
"07/22/1999","4.596","4.596","4.596","4.596","0.68%"
"07/21/1999","4.565","4.565","4.565","4.565","-0.91%"
"07/20/1999","4.607","4.607","4.607","4.607","-0.28%"
"07/19/1999","4.620","4.620","4.620","4.620","-1.01%"
"07/16/1999","4.667","4.667","4.667","4.667","-0.49%"
"07/15/1999","4.690","4.690","4.690","4.690","-0.45%"
"07/14/1999","4.711","4.711","4.711","4.711","0.21%"
"07/13/1999","4.701","4.701","4.701","4.701","0.30%"
"07/12/1999","4.687","4.687","4.687","4.687","0.43%"
"07/09/1999","4.667","4.667","4.667","4.667","0.19%"
"07/08/1999","4.658","4.658","4.658","4.658","0.22%"
"07/07/1999","4.648","4.648","4.648","4.648","0.28%"
"07/06/1999","4.635","4.635","4.635","4.635","-0.66%"
"07/02/1999","4.666","4.666","4.666","4.666","0.17%"
"07/01/1999","4.658","4.658","4.658","4.658","-2.00%"
"06/30/1999","4.753","4.753","4.753","4.753","-0.65%"
"06/29/1999","4.784","4.784","4.784","4.784","-0.35%"
"06/28/1999","4.801","4.801","4.801","4.801","0.42%"
"06/25/1999","4.781","4.781","4.781","4.781","1.23%"
"06/24/1999","4.723","4.723","4.723","4.723","0.04%"
"06/23/1999","4.721","4.721","4.721","4.721","-0.23%"
"06/22/1999","4.732","4.732","4.732","4.732","1.18%"
"06/21/1999","4.677","4.677","4.677","4.677","0.43%"
"06/18/1999","4.657","4.657","4.657","4.657","0.65%"
"06/17/1999","4.627","4.627","4.627","4.627","-0.45%"
"06/16/1999","4.648","4.648","4.648","4.648","-1.36%"
"06/15/1999","4.712","4.712","4.712","4.712","0.53%"
"06/14/1999","4.687","4.687","4.687","4.687","-0.89%"
"06/11/1999","4.729","4.729","4.729","4.729","1.52%"
"06/10/1999","4.658","4.658","4.658","4.658","1.57%"
"06/09/1999","4.586","4.586","4.586","4.586","-0.24%"
"06/08/1999","4.597","4.597","4.597","4.597","2.16%"
"06/07/1999","4.500","4.500","4.500","4.500","-0.82%"
"06/04/1999","4.537","4.537","4.537","4.537","-1.50%"
"06/03/1999","4.606","4.606","4.606","4.606","-2.44%"
"06/02/1999","4.721","4.721","4.721","4.721","1.18%"
"06/01/1999","4.666","4.666","4.666","4.666","0.67%"
"05/28/1999","4.635","4.635","4.635","4.635","0.17%"
"05/27/1999","4.627","4.627","4.627","4.627","-0.45%"
"05/26/1999","4.648","4.648","4.648","4.648","0.43%"
"05/25/1999","4.628","4.628","4.628","4.628","0.43%"
"05/24/1999","4.608","4.608","4.608","4.608","0.52%"
"05/21/1999","4.584","4.584","4.584","4.584","-0.26%"
"05/20/1999","4.596","4.596","4.596","4.596","-0.24%"
"05/19/1999","4.607","4.607","4.607","4.607","-1.01%"
"05/18/1999","4.654","4.654","4.654","4.654","-0.68%"
"05/17/1999","4.686","4.686","4.686","4.686","1.32%"
"05/14/1999","4.625","4.625","4.625","4.625","0.85%"
