"Date","Price","Open","High","Low","Vol.","Change %"
"11/23/2009","3.608","3.613","3.651","3.584","315.58K","2.21%"
"11/20/2009","3.530","3.690","3.709","3.516","775.10K","-3.31%"
"11/19/2009","3.651","3.874","3.893","3.642","1.02M","-6.58%"
"11/18/2009","3.908","3.690","3.961","3.690","1.30M","7.30%"
"11/17/2009","3.642","3.593","3.700","3.530","949.77K","1.62%"
"11/16/2009","3.584","3.535","3.584","3.516","289.67K","2.52%"
"11/13/2009","3.496","3.535","3.593","3.467","419.63K","-2.18%"
"11/12/2009","3.574","3.467","3.617","3.400","606.08K","1.65%"
"11/11/2009","3.516","3.545","3.593","3.516","266.20K","0.00%"
"11/10/2009","3.516","3.496","3.613","3.458","847.54K","0.83%"
"11/09/2009","3.487","3.448","3.496","3.419","351.74K","1.69%"
"11/06/2009","3.429","3.487","3.545","3.395","309.41K","-1.66%"
"11/05/2009","3.487","3.472","3.564","3.390","805.41K","-1.08%"
"11/04/2009","3.525","3.400","3.588","3.390","628.83K","5.51%"
"11/03/2009","3.341","3.477","3.530","3.293","624.79K","-1.74%"
"11/02/2009","3.400","3.390","3.448","3.351","406.25K","-1.53%"
"10/30/2009","3.453","3.622","3.700","3.409","1.01M","-3.11%"
"10/29/2009","3.564","3.341","3.651","3.245","1.83M","6.04%"
"10/28/2009","3.361","3.680","3.680","3.278","2.34M","-10.56%"
"10/27/2009","3.758","3.923","4.024","3.739","820.24K","-5.36%"
"10/26/2009","3.971","4.165","4.174","3.893","376.72K","-3.31%"
"10/23/2009","4.107","4.305","4.310","4.082","559.00K","-3.18%"
"10/22/2009","4.242","4.203","4.242","4.174","653.57K","-1.35%"
"10/21/2009","4.300","4.320","4.339","4.179","461.79K","0.21%"
"10/20/2009","4.291","4.450","4.450","4.291","349.52K","-3.38%"
"10/19/2009","4.441","4.295","4.441","4.242","570.04K","4.10%"
"10/16/2009","4.266","4.436","4.446","4.199","737.03K","-3.51%"
"10/15/2009","4.421","4.387","4.455","4.358","709.39K","1.21%"
"10/14/2009","4.368","4.373","4.450","4.324","775.62K","1.46%"
"10/13/2009","4.305","4.455","4.455","4.252","631.27K","-2.95%"
"10/12/2009","4.436","4.504","4.504","4.416","470.91K","-1.07%"
"10/09/2009","4.484","4.431","4.542","4.407","585.74K","0.43%"
"10/08/2009","4.465","4.562","4.620","4.416","1.03M","-0.76%"
"10/07/2009","4.499","4.232","4.581","4.213","1.96M","6.66%"
"10/06/2009","4.218","4.107","4.291","4.097","747.59K","2.70%"
"10/05/2009","4.107","4.116","4.252","4.087","672.04K","-0.92%"
"10/02/2009","4.145","4.208","4.208","4.087","835.55K","-3.18%"
"10/01/2009","4.281","4.387","4.504","4.262","869.42K","-2.33%"
"09/30/2009","4.383","4.470","4.634","4.262","2.25M","-1.95%"
"09/29/2009","4.470","4.465","4.518","4.329","1.23M","1.31%"
"09/28/2009","4.412","4.165","4.436","4.010","3.33M","4.13%"
"09/25/2009","4.237","4.315","4.339","4.213","1.39M","-2.24%"
"09/24/2009","4.334","4.358","4.484","4.252","2.14M","-2.72%"
"09/23/2009","4.455","4.600","4.600","4.281","2.42M","-3.07%"
"09/22/2009","4.596","5.007","5.036","4.533","5.71M","-8.48%"
"09/21/2009","5.022","4.818","5.094","4.746","7.80M","1.68%"
"09/18/2009","4.939","4.843","5.080","4.562","3.01M","2.60%"
"09/17/2009","4.814","4.634","4.891","4.605","4.77M","5.64%"
"09/16/2009","4.557","4.523","4.630","4.170","5.60M","2.96%"
"09/15/2009","4.426","4.165","4.639","4.165","4.54M","7.14%"
"09/14/2009","4.131","3.990","4.237","3.826","5.61M","2.79%"
"09/11/2009","4.019","3.787","4.107","3.680","4.77M","7.49%"
"09/10/2009","3.739","3.700","3.806","3.554","3.88M","2.27%"
"09/09/2009","3.656","3.400","3.768","3.390","7.24M","11.19%"
"09/08/2009","3.288","3.298","3.332","3.216","1.21M","0.43%"
"09/07/2009","3.274","3.235","3.317","3.230","686.82K","2.44%"
"09/04/2009","3.196","3.167","3.235","3.148","1.07M","3.30%"
"09/03/2009","3.094","3.036","3.133","3.031","891.44K","2.08%"
"09/02/2009","3.031","3.138","3.138","2.954","1.62M","-3.56%"
"09/01/2009","3.143","3.274","3.337","3.143","1.43M","-3.85%"
"08/31/2009","3.269","3.312","3.341","3.196","1.76M","-3.57%"
"08/28/2009","3.390","3.085","3.404","3.085","5.00M","12.36%"
"08/27/2009","3.017","3.041","3.080","2.983","715.80K","-0.79%"
"08/26/2009","3.041","3.031","3.056","2.973","1.37M","1.13%"
"08/25/2009","3.007","2.954","3.031","2.920","1.36M","0.97%"
"08/24/2009","2.978","2.915","3.002","2.906","947.68K","3.37%"
"08/21/2009","2.881","2.765","2.925","2.755","1.14M","4.73%"
"08/20/2009","2.751","2.751","2.785","2.751","492.21K","1.44%"
"08/19/2009","2.712","2.741","2.755","2.688","527.74K","-1.56%"
"08/18/2009","2.755","2.751","2.780","2.688","635.81K","0.33%"
"08/17/2009","2.746","2.847","2.906","2.726","978.68K","-4.69%"
"08/14/2009","2.881","2.973","2.973","2.857","927.78K","-1.50%"
"08/13/2009","2.925","2.925","2.969","2.915","793.49K","1.53%"
"08/12/2009","2.881","2.886","2.901","2.760","1.36M","0.84%"
"08/11/2009","2.857","2.973","3.031","2.712","1.42M","-4.22%"
"08/10/2009","2.983","3.075","3.109","2.973","960.43K","-1.91%"
"08/07/2009","3.041","3.002","3.061","2.906","1.57M","0.33%"
"08/06/2009","3.031","3.022","3.099","3.002","1.70M","1.78%"
"08/05/2009","2.978","3.061","3.235","2.959","3.70M","-2.07%"
"08/04/2009","3.041","3.070","3.080","2.877","2.67M","0.96%"
"08/03/2009","3.012","2.741","3.012","2.717","4.72M","11.06%"
"07/31/2009","2.712","2.683","2.731","2.659","1.39M","1.84%"
"07/30/2009","2.663","2.557","2.683","2.542","2.96M","3.74%"
"07/29/2009","2.567","2.634","2.649","2.567","1.26M","-2.91%"
"07/28/2009","2.644","2.673","2.692","2.615","1.06M","-0.71%"
"07/27/2009","2.663","2.697","2.731","2.567","1.64M","-0.56%"
"07/24/2009","2.678","2.760","2.770","2.663","917.98K","-1.25%"
"07/23/2009","2.712","2.707","2.794","2.663","1.36M","1.46%"
"07/22/2009","2.673","2.663","2.712","2.591","2.74M","2.61%"
"07/21/2009","2.605","2.450","2.615","2.412","2.60M","7.60%"
"07/20/2009","2.421","2.450","2.479","2.402","606.11K","-0.62%"
"07/17/2009","2.436","2.484","2.528","2.436","769.44K","-1.73%"
"07/16/2009","2.479","2.479","2.504","2.431","1.22M","1.97%"
"07/15/2009","2.431","2.538","2.567","2.392","1.96M","-2.33%"
"07/14/2009","2.489","2.421","2.567","2.387","2.34M","5.56%"
"07/13/2009","2.358","2.383","2.450","2.324","1.46M","1.46%"
